snapshot_time,event_slug,event_title,match_date,tournament,best_of,team1,team2,market_type,market_question,outcome1,outcome2,outcome1_mid,outcome2_mid,mid_source,volume
2026-05-21T23:17:16Z,lol-ktc-foxy-2026-05-22,LoL: KT Rolster Challengers vs BNK FearX Youth (BO3) - LCK Challengers League Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Challengers League Rounds 1-2,3,KT Rolster Challengers,BNK FearX Youth,game_handicap,Game Handicap: KT.C (-1.5) vs BNK FearX Youth (+1.5),KT Rolster Challengers,BNK FearX Youth,0.4250,0.5750,clob_mid,57
2026-05-21T23:17:16Z,lol-bro1-t1a-2026-05-22,LoL: HANJIN BRION Challengers vs T1 Academy (BO3) - LCK Challengers League Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Challengers League Rounds 1-2,3,HANJIN BRION Challengers,T1 Academy,match_winner,LoL: HANJIN BRION Challengers vs T1 Academy (BO3) - LCK Challengers League Rounds 1-2,HANJIN BRION Challengers,T1 Academy,0.1300,0.8700,clob_mid,2019
2026-05-21T23:17:16Z,lol-bro1-t1a-2026-05-22,LoL: HANJIN BRION Challengers vs T1 Academy (BO3) - LCK Challengers League Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Challengers League Rounds 1-2,3,HANJIN BRION Challengers,T1 Academy,game_1_winner,LoL: HANJIN BRION Challengers vs T1 Academy - Game 1 Winner,HANJIN BRION Challengers,T1 Academy,0.2050,0.7950,clob_mid,908
2026-05-21T23:17:16Z,lol-bro1-t1a-2026-05-22,LoL: HANJIN BRION Challengers vs T1 Academy (BO3) - LCK Challengers League Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Challengers League Rounds 1-2,3,HANJIN BRION Challengers,T1 Academy,game_2_winner,LoL: HANJIN BRION Challengers vs T1 Academy - Game 2 Winner,HANJIN BRION Challengers,T1 Academy,0.2200,0.7800,clob_mid,918
2026-05-21T23:17:16Z,lol-bro1-t1a-2026-05-22,LoL: HANJIN BRION Challengers vs T1 Academy (BO3) - LCK Challengers League Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Challengers League Rounds 1-2,3,HANJIN BRION Challengers,T1 Academy,game_handicap,Game Handicap: T1.A (-1.5) vs HANJIN BRION Challengers (+1.5),T1 Academy,HANJIN BRION Challengers,0.6300,0.3700,clob_mid,242
2026-05-21T23:17:16Z,lol-t1-drx-2026-05-20,LoL: T1 vs Kiwoom DRX (BO3) - LCK Rounds 1-2,2026-05-20T00:00:00+00:00,LCK Rounds 1-2,3,T1,Kiwoom DRX,match_winner,LoL: T1 vs Kiwoom DRX (BO3) - LCK Rounds 1-2,T1,Kiwoom DRX,1.0000,0.0000,gamma_last,1142734
2026-05-21T23:17:16Z,lol-t1-drx-2026-05-20,LoL: T1 vs Kiwoom DRX (BO3) - LCK Rounds 1-2,2026-05-20T00:00:00+00:00,LCK Rounds 1-2,3,T1,Kiwoom DRX,game_1_winner,LoL: T1 vs Kiwoom DRX - Game 1 Winner,T1,Kiwoom DRX,1.0000,0.0000,gamma_last,518265
2026-05-21T23:17:16Z,lol-t1-drx-2026-05-20,LoL: T1 vs Kiwoom DRX (BO3) - LCK Rounds 1-2,2026-05-20T00:00:00+00:00,LCK Rounds 1-2,3,T1,Kiwoom DRX,game_2_winner,LoL: T1 vs Kiwoom DRX - Game 2 Winner,T1,Kiwoom DRX,0.0000,1.0000,gamma_last,654859
2026-05-21T23:17:16Z,lol-t1-drx-2026-05-20,LoL: T1 vs Kiwoom DRX (BO3) - LCK Rounds 1-2,2026-05-20T00:00:00+00:00,LCK Rounds 1-2,3,T1,Kiwoom DRX,game_handicap,Game Handicap: T1 (-1.5) vs Kiwoom DRX (+1.5),T1,Kiwoom DRX,0.0000,1.0000,gamma_last,114157
2026-05-21T23:17:16Z,lol-dnf-drx-2026-05-22,LoL: DN SOOPers vs Kiwoom DRX (BO3) - LCK Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Rounds 1-2,3,DN SOOPers,Kiwoom DRX,match_winner,LoL: DN SOOPers vs Kiwoom DRX (BO3) - LCK Rounds 1-2,DN SOOPers,Kiwoom DRX,0.2850,0.7150,clob_mid,9568
