gameid,date,league,year,split,playoffs,game,patch,blue_team,red_team,blue_elo,red_elo,elo_diff,elo_diff_signed_sq,top_elo_diff,jng_elo_diff,mid_elo_diff,bot_elo_diff,sup_elo_diff,blue_rwr,red_rwr,rwr_diff,h2h_wr,role_h2h_wr,role_h2h_signed_sq,gd20_diff,gd15_diff,top_gd15_diff,jng_gd15_diff,mid_gd15_diff,bot_gd15_diff,sup_gd15_diff,outperf_diff,outperf_exp_diff,outperf_elo_diff,outperf_elo_exp_diff,rwr_exp_diff,gd15_exp_diff,first_blood_diff,first_dragon_diff,first_tower_diff,kill_diff_diff,game_len_diff,dragons_diff,barons_diff,blue_days_since,red_days_since,days_since_diff,blue_first_pick,series_score,q_blue_win,blue_win
LOLTMNT02_24257,2024-01-19 11:37:08+00:00,LCK,2024,Spring,0,2,14.01,T1,DN SOOPers,1619.010688285236,1594.149661951164,24.861026334071994,618.0706303834212,24.861026334071994,24.861026334071994,24.861026334071994,24.861026334071994,24.861026334071994,0.5,,,,0.5833333333333334,0.00694444444444445,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,0.8140102245173586,1
LOLTMNT02_26035,2024-01-20 06:07:32+00:00,LCK,2024,Spring,0,1,14.01,HANJIN BRION,BNK FEARX,1575.294786810416,1575.294786810416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,3409.0,306.79999999999995,527.5,595.5,140.0,-82.0,353.0,,,,,,355.5411764705882,,,,,,,,1.0,1.0,0.0,1,0,0.4613624259050369,0
LOLTMNT02_26046,2024-01-20 06:57:59+00:00,LCK,2024,Spring,0,2,14.01,BNK FEARX,HANJIN BRION,1599.294786810416,1551.294786810416,48.0,2304.0,48.0,48.0,48.0,48.0,48.0,0.3333333333333333,0.0,0.3333333333333333,,0.5833333333333334,0.00694444444444445,1424.6666666666667,149.60000000000002,-315.66666666666663,850.3333333333334,488.6666666666667,85.33333333333337,-360.66666666666663,0.2643634961162493,0.38611525367606614,0.33333333333333337,0.45662100456621,0.4566210045662101,291.9205479452055,1.0,0.680365296803653,0.13698630136986306,7.45662100456621,-171.26027397260282,1.634703196347032,0.4566210045662101,0.0,0.0,0.0,1,1,0.538637574094963,1
LOLTMNT02_25093,2024-01-20 08:36:07+00:00,LCK,2024,Spring,0,1,14.01,Nongshim RedForce,Gen.G,1664.705213189584,1646.8396497636,17.865563425983964,319.1783565278559,17.865563425983964,17.865563425983964,17.865563425983964,17.865563425983964,17.865563425983964,,0.6666666666666666,,,0.5,0.0,-2794.1666666666665,-480.76666666666665,375.0,-188.16666666666669,-757.8333333333334,-1867.8333333333333,35.0,,,,,,-538.4012355627183,,,,,,,,2.0,2.0,0.0,1,0,0.1628074961641101,0
LOLTMNT02_25120,2024-01-20 09:22:51+00:00,LCK,2024,Spring,0,2,14.01,Gen.G,Nongshim RedForce,1672.0726725931593,1639.4721903600246,32.6004822331347,1062.7914418329312,32.6004822331347,32.6004822331347,32.6004822331347,32.6004822331347,32.6004822331347,0.75,0.6666666666666666,0.08333333333333337,,0.5833333333333334,0.00694444444444445,6099.833333333334,638.0833333333334,1603.9166666666667,-24.33333333333333,525.25,924.0,161.58333333333331,-0.11547010426566223,0.032026256120058855,0.13598829225586662,0.3756776755016644,0.3212084502827517,756.8385569838858,0.6711409395973155,-0.07515408480207386,0.35150623640096845,12.249153187063186,107.20434375828108,0.6671443791270293,-0.12628013419213413,0.0,0.0,0.0,1,1,0.8371925038358898,1
LOLTMNT05_13097,2024-01-20 16:07:50+00:00,LEC,2024,Winter,0,1,14.01,Team Vitality,Rogue,1434.5895736208322,1482.2560785554874,-47.66650493465522,-2272.0956926855106,-47.66650493465522,-47.66650493465522,-47.66650493465522,-47.66650493465522,-47.66650493465522,0.0,0.3333333333333333,-0.3333333333333333,,0.5,0.0,-336.0,-140.0,-130.66666666666666,682.0,-669.6666666666666,-861.3333333333334,279.66666666666663,,,-0.33101739537955116,-0.46285141721632594,-0.4566210045662101,-60.16986301369859,0.0,-0.36073059360730597,0.0,-10.438356164383562,-286.0000000000002,-1.5936073059360734,-0.4566210045662101,5.0,4.0,1.0,1,0,,1
LOLTMNT05_13105,2024-01-20 17:02:50+00:00,LEC,2024,Winter,0,1,14.01,Team Heretics,SK Gaming,1523.7724110125134,1571.7724110125134,-48.0,-2304.0,-48.0,-48.0,-48.0,-48.0,-48.0,0.6666666666666666,1.0,-0.33333333333333337,,0.5,0.0,-2010.0,-58.93333333333335,-27.33333333333337,-249.0,-566.6666666666667,367.6666666666667,180.66666666666666,,,-0.33333333333333326,-0.22374429223744302,-0.22374429223744297,103.85570776255722,-0.22374429223744297,0.0,0.0,-8.273972602739725,-17.063926940639703,-0.5342465753424652,-0.3105022831050228,4.0,4.0,0.0,1,0,0.4122139999999999,1
LOLTMNT05_13119,2024-01-20 18:05:43+00:00,LEC,2024,Winter,0,1,14.01,G2 Esports,Movistar KOI,1514.4491346340965,1520.9288039853584,-6.479669351261919,-41.98611490168305,-6.479669351261919,-6.479669351261919,-6.479669351261919,-6.479669351261919,-6.479669351261919,0.6666666666666666,0.8,-0.13333333333333341,,0.5,0.0,-2373.8666666666663,-197.26666666666665,-626.3333333333334,611.6666666666666,-797.3333333333333,-109.33333333333334,-65.0,,,-0.17313385882547838,-0.37832830073815027,-0.33293271348402775,-22.91324200913239,-0.44718906638779715,-0.03953507020891678,-0.2429931456627757,-10.292522964837172,141.9633514345005,-1.212582097841807,0.28953157116584327,5.0,4.0,1.0,1,0,0.7242109999999999,1
LOLTMNT05_14124,2024-01-20 19:01:38+00:00,LEC,2024,Winter,0,1,14.01,Team BDS,Fnatic,1524.0,1520.9328021770705,3.067197822929529,9.407702484983643,3.067197822929529,3.067197822929529,3.067197822929529,3.067197822929529,3.067197822929529,0.6666666666666666,0.6666666666666666,0.0,,0.5,0.0,536.6666666666665,-171.66666666666669,666.6666666666666,-752.0,-696.3333333333334,36.66666666666667,-113.33333333333333,,,0.021299984881454015,0.24324891302016502,0.23287671232876705,-195.14885844748858,0.0,0.776255707762557,0.36073059360730597,7.876712328767123,-87.30136986301386,0.32876712328767144,0.009132420091324311,5.0,4.0,1.0,1,0,,1
LOLTMNT05_14130,2024-01-20 19:55:53+00:00,LEC,2024,Winter,0,1,14.01,Karmine Corp,GiantX,1434.3659828250577,1472.9328021770705,-38.56681935201277,-1487.3995549307867,-38.56681935201277,-38.56681935201277,-38.56681935201277,-38.56681935201277,-38.56681935201277,0.0,0.3333333333333333,-0.3333333333333333,,0.5,0.0,2243.0,254.66666666666669,225.0,-401.3333333333333,516.0,198.33333333333334,735.3333333333333,,,-0.2678251343889786,-0.15281289419960564,-0.2237442922374429,454.8091324200914,0.5525114155251141,0.31963470319634707,0.680365296803653,-2.525114155251141,24.03652968036522,1.0091324200913243,0.0,5.0,5.0,0.0,1,0,0.5877859999999999,0
LOLTMNT02_26436,2024-01-21 06:09:52+00:00,LCK,2024,Spring,0,1,14.01,Hanwha Life Esports,DN SOOPers,1659.0699854226818,1571.8640757439007,87.20590967878115,7604.870682903736,87.20590967878115,87.20590967878115,87.20590967878115,87.20590967878115,87.20590967878115,,,,,0.5,0.0,7175.5,813.2,554.5,117.5,2172.5,15.5,1206.0,,,,,,764.8823529411766,,,,,,,,1.0,1.0,0.0,1,0,0.7997241010150488,1
LOLTMNT02_25456,2024-01-21 07:08:40+00:00,LCK,2024,Spring,0,2,14.01,Hanwha Life Esports,DN SOOPers,1677.1694101075693,1553.7646510590132,123.40475904855612,15228.734555832192,123.40475904855612,123.40475904855612,123.40475904855612,123.40475904855612,123.40475904855612,1.0,0.0,1.0,,0.5833333333333334,0.00694444444444445,5817.0,699.0666666666666,355.0,-27.666666666666686,1237.6666666666665,893.0,1037.3333333333333,0.3892470095710382,0.39133762112425274,0.8569774933927476,0.8316149763864211,1.0,630.5981735159817,0.776255707762557,-0.0867579908675799,0.680365296803653,16.22374429223744,16.876712328767326,0.6803652968036533,1.0,0.0,0.0,0.0,1,1,0.7997241010150488,1
LOLTMNT02_25488,2024-01-21 08:48:47+00:00,LCK,2024,Spring,0,1,14.01,Dplus Kia,KT Rolster,1664.705213189584,1664.705213189584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,-3409.0,-306.79999999999995,-527.5,-595.5,-140.0,82.0,-353.0,,,,,,-355.5411764705882,,,,,,,,2.0,2.0,0.0,1,0,0.5482423676240016,1
LOLTMNT02_26523,2024-01-21 09:35:51+00:00,LCK,2024,Spring,0,2,14.01,KT Rolster,Dplus Kia,1640.705213189584,1688.705213189584,-48.0,-2304.0,-48.0,-48.0,-48.0,-48.0,-48.0,0.6666666666666666,1.0,-0.33333333333333337,,0.4166666666666667,-0.006944444444444442,-859.3333333333333,151.33333333333331,-61.66666666666667,560.3333333333334,464.6666666666667,-468.6666666666667,262.0,-0.2579603004302236,-0.37734375273630505,-0.33333333333333337,-0.45662100456621,-0.45662100456621,120.31689497716894,-0.0867579908675799,-0.680365296803653,0.7762557077625571,-4.71689497716895,-171.26027397260304,-0.6803652968036533,-0.7762557077625569,0.0,0.0,0.0,1,-1,0.4517576323759984,1
LOLTMNT02_26537,2024-01-21 10:46:29+00:00,LCK,2024,Spring,0,3,14.01,Dplus Kia,KT Rolster,1661.4104263791676,1668.0,-6.589573620832425,-43.42248050437056,-6.589573620832198,-6.589573620832198,-6.589573620832198,-6.589573620832198,-6.589573620832198,0.75,0.75,0.0,0.5,0.5,0.0,1842.0,-232.5,846.75,-621.25,-538.0,-180.5,-669.5,-0.08065095848933307,-0.2045072097525652,-0.034320695941833845,-0.17263434021608187,-0.11843663639952617,-260.7365969206474,0.4472956968022107,0.8065534938807738,-0.8645874457165417,5.223450454007106,103.64863797868111,0.8065534938807732,0.07500986971969992,0.0,0.0,0.0,1,0,0.5482423676240016,0
LOLTMNT05_13165,2024-01-21 16:06:46+00:00,LEC,2024,Winter,0,1,14.01,Movistar KOI,Team BDS,1496.4812561714803,1547.788130984476,-51.30687481299583,-2632.3954030764257,-51.30687481299583,-51.30687481299583,-51.30687481299583,-51.30687481299583,-51.30687481299583,0.6666666666666666,0.75,-0.08333333333333337,,0.5,0.0,-1495.4,88.75,-311.25,703.0,669.5,-454.75,-162.75,,,-0.17728622653971204,-0.3329462386972084,-0.2862223733133824,53.6041058033952,0.30628613691674966,-0.6908232634353406,-0.344808678042179,-6.574173228281773,90.86108552928772,-0.33588301947955523,-0.3956788141175522,0.0,0.0,0.0,1,0,,0
LOLTMNT05_14228,2024-01-21 17:03:20+00:00,LEC,2024,Winter,0,1,14.01,Rogue,Fnatic,1454.983897571282,1497.1446711925946,-42.16077362131273,-1777.5308323475792,-42.16077362131273,-42.16077362131273,-42.16077362131273,-42.16077362131273,-42.16077362131273,0.25,0.5,-0.25,,0.5,0.0,-1752.0,-323.5,467.25,-621.5,-1008.0,105.5,-560.75,,,-0.21958736261100392,-0.033175925821038704,-0.05250690880378994,-296.3494670351362,-0.4472956968022107,0.4117647058823529,-0.05803395183576787,2.570469798657719,98.84721673904437,0.43979470983024105,-0.18791946308724822,1.0,0.0,1.0,1,0,0.3122169999999999,0
LOLTMNT05_14237,2024-01-21 17:59:27+00:00,LEC,2024,Winter,0,1,14.01,G2 Esports,Team Heretics,1538.8966824479746,1551.0671978229295,-12.170515374954903,-148.12144449201367,-12.170515374954903,-12.170515374954903,-12.170515374954903,-12.170515374954903,-12.170515374954903,0.75,0.75,0.0,,0.5,0.0,-186.5,-211.0,-1042.5,631.75,-226.25,-176.0,-242.0,-0.24411633333333332,-0.36364610045662105,-0.06338810091122221,-0.21234395340869072,-0.14093959731543637,-314.40063166206073,-0.4697986577181208,0.06040268456375841,-0.1934465061192262,-11.101460718515595,83.44492696407428,-1.1109356494275562,-0.14093959731543615,0.0,1.0,-1.0,1,0,0.707158,1
LOLTMNT05_14246,2024-01-21 18:55:40+00:00,LEC,2024,Winter,0,1,14.01,GiantX,SK Gaming,1494.2795893114856,1544.4776242020973,-50.19803489061178,-2519.8427068790775,-50.19803489061178,-50.19803489061178,-50.19803489061178,-50.19803489061178,-50.19803489061178,0.5,0.75,-0.25,,0.5,0.0,-1396.75,-133.75,-1018.5,373.5,-374.25,231.25,119.25,-0.06242358333333328,0.11616937537743795,-0.26144809838860195,-0.08039089855401531,-0.07500986971969992,-120.69467035136202,-0.4697986577181208,-0.33438610343466246,-0.2763521515988946,0.33241215949467184,185.45677062771392,-0.5092775365179629,0.18436636399526252,0.0,1.0,-1.0,1,0,0.3934839999999999,0
LOLTMNT05_14253,2024-01-21 19:48:07+00:00,LEC,2024,Winter,0,1,14.01,Karmine Corp,Team Vitality,1413.0191956906426,1461.8617546050377,-48.84255891439511,-2385.5955613061574,-48.84255891439511,-48.84255891439511,-48.84255891439511,-48.84255891439511,-48.84255891439511,0.0,0.25,-0.25,,0.5,0.0,615.5,126.89999999999999,-60.0,-414.25,5.5,933.5,169.75,,,-0.25438832767914077,-0.4011669436411263,-0.3947887879984209,-12.375681010659322,-0.20134228187919467,-0.25937623371496255,0.4697986577181208,-4.688116857481248,324.32609553888665,-0.8555073035925784,0.32885906040268453,0.0,1.0,-1.0,1,0,0.525641,0
10665-10665_game_1,2024-01-22 09:24:07+00:00,LPL,2024,Spring,0,1,14.01,Bilibili Gaming,Top Esports,1389.2895868480325,1240.95476624043,148.33482060760252,22003.21900468962,148.33482060760252,148.33482060760252,148.33482060760252,148.33482060760252,148.33482060760252,1.0,0.4,0.6,,0.5,0.0,,,,,,,,,,0.5180617525316781,0.5443715123344183,0.6238866250766291,,0.04696690552689642,,,13.668194058754345,-467.0136851741697,0.36289761953519717,-0.12368829108218238,15.0,20.0,-5.0,1,0,0.65342684941536,1
10665-10665_game_2,2024-01-22 10:14:07+00:00,LPL,2024,Spring,0,2,14.01,Top Esports,Bilibili Gaming,1226.6210656153746,1403.6232874730879,-177.00222185771327,-31329.786542567148,-177.00222185771327,-177.00222185771327,-177.00222185771327,-177.00222185771327,-177.00222185771327,0.3333333333333333,1.0,-0.6666666666666667,,0.4166666666666667,-0.006944444444444442,,,,,,,,,,-0.4512375361172063,-0.5399811522758156,-0.7517654538839986,,-0.36655261716304277,,,-18.522823485312564,307.66012517632794,-0.5820563402160717,-0.25836656840645056,0.0,0.0,0.0,1,-1,0.34657315058464,1
10665-10665_game_3,2024-01-22 11:06:30+00:00,LPL,2024,Spring,0,3,14.01,Bilibili Gaming,Top Esports,1368.3548275395465,1261.889525548916,106.46530199063045,11334.86052795614,106.46530199063045,106.46530199063045,106.46530199063045,106.46530199063045,106.46530199063045,0.875,0.42857142857142855,0.44642857142857145,0.5,0.5,0.0,,,,,,,,,,0.1962429330494163,-0.14014156696335206,0.18764323338904998,,-0.07359593542714615,,,6.771762163997215,-208.6364786381887,-0.8976614282501769,-0.14445193144417479,0.0,0.0,0.0,1,0,0.65342684941536,1
10666-10666_game_1,2024-01-22 12:21:49+00:00,LPL,2024,Spring,0,1,14.01,Royal Never Give Up,EDward Gaming,1620.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.5322467089975003,0
10666-10666_game_2,2024-01-22 13:22:21+00:00,LPL,2024,Spring,0,2,14.01,EDward Gaming,Royal Never Give Up,1644.0,1596.0,48.0,2304.0,48.0,48.0,48.0,48.0,48.0,,,,,0.5833333333333334,0.00694444444444445,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,0.4677532910024997,0
10666-10666_game_3,2024-01-22 14:11:39+00:00,LPL,2024,Spring,0,3,14.01,Royal Never Give Up,EDward Gaming,1623.294786810416,1616.705213189584,6.589573620832198,43.42248050436756,6.589573620832198,6.589573620832198,6.589573620832198,6.589573620832198,6.589573620832198,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1,0,0.5322467089975003,1
LOLTMNT05_13239,2024-01-22 16:07:26+00:00,LEC,2024,Winter,0,1,14.01,SK Gaming,Team BDS,1565.033995342926,1568.2695177122594,-3.2355223693334665,-10.468605002457249,-3.2355223693334665,-3.2355223693334665,-3.2355223693334665,-3.2355223693334665,-3.2355223693334665,0.8,0.8,0.0,,0.5,0.0,-1238.8,-13.520000000000001,54.599999999999966,216.20000000000002,318.2,-448.2,-208.4,,,-0.01348134320555594,-0.17869173928482915,-0.165843280083661,-61.95469330352315,0.0685153798997511,0.36060726263026943,0.14528866611373548,-7.53250874472612,-58.96718473910073,0.07936965850492239,-0.3161804478742204,0.0,1.0,-1.0,1,0,,0
