league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,18 Aug 2025 - Fall Season,2025-08-18,2025,Weibo Gaming,FunPlus Phoenix,Weibo Gaming,FunPlus Phoenix,2-0,2,0,1.25,4.6,0.786325,0.213675
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,17 Aug 2025 - Fall Season,2025-08-17,2025,Bilibili Gaming,Top Esports,Bilibili Gaming,Top Esports,0-2,0,2,1.55,2.7,0.635294,0.364706
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,17 Aug 2025 - Fall Season,2025-08-17,2025,Weibo Gaming,Anyone's Legend,Weibo Gaming,Anyone's Legend,0-2,0,2,3.6,1.35,0.272727,0.727273
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,16 Aug 2025 - Fall Season,2025-08-16,2025,Invictus Gaming,Top Esports,Invictus Gaming,Top Esports,2-1,2,1,2.35,1.62,0.40806,0.59194
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,16 Aug 2025 - Fall Season,2025-08-16,2025,JD Gaming,Team WE,JD Gaming,Team WE,2-1,2,1,1.64,2.4,0.594059,0.405941
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,15 Aug 2025 - Fall Season,2025-08-15,2025,Weibo Gaming,Bilibili Gaming,Weibo Gaming,Bilibili Gaming,1-2,1,2,4.5,1.25,0.217391,0.782609
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,15 Aug 2025 - Fall Season,2025-08-15,2025,Anyone's Legend,Invictus Gaming,Anyone's Legend,Invictus Gaming,2-0,2,0,1.85,2.16,0.538653,0.461347
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,14 Aug 2025 - Fall Season,2025-08-14,2025,Team WE,FunPlus Phoenix,Team WE,FunPlus Phoenix,2-0,2,0,1.41,3.0,0.680272,0.319728
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,14 Aug 2025 - Fall Season,2025-08-14,2025,Ninjas in Pyjamas,EDward Gaming,Ninjas in Pyjamas,EDward Gaming,2-1,2,1,2.1,1.75,0.454545,0.545455
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,13 Aug 2025 - Fall Season,2025-08-13,2025,Anyone's Legend,Bilibili Gaming,Anyone's Legend,Bilibili Gaming,2-1,2,1,2.3,1.7,0.425,0.575
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,13 Aug 2025 - Fall Season,2025-08-13,2025,JD Gaming,Top Esports,JD Gaming,Top Esports,1-2,1,2,3.5,1.31,0.272349,0.727651
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,12 Aug 2025 - Fall Season,2025-08-12,2025,Weibo Gaming,Team WE,Weibo Gaming,Team WE,2-1,2,1,1.58,2.4,0.603015,0.396985
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,11 Aug 2025 - Fall Season,2025-08-11,2025,JD Gaming,FunPlus Phoenix,JD Gaming,FunPlus Phoenix,2-0,2,0,1.39,3.0,0.683371,0.316629
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,10 Aug 2025 - Fall Season,2025-08-10,2025,Team WE,Bilibili Gaming,Team WE,Bilibili Gaming,1-2,1,2,5.8,1.16,0.166667,0.833333
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,10 Aug 2025 - Fall Season,2025-08-10,2025,TT Gaming,EDward Gaming,TT Gaming,EDward Gaming,1-2,1,2,4.0,1.27,0.240987,0.759013
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,09 Aug 2025 - Fall Season,2025-08-09,2025,JD Gaming,Invictus Gaming,JD Gaming,Invictus Gaming,0-2,0,2,3.55,1.45,0.29,0.71
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,09 Aug 2025 - Fall Season,2025-08-09,2025,Weibo Gaming,Top Esports,Weibo Gaming,Top Esports,0-2,0,2,3.3,1.37,0.293362,0.706638
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,09 Aug 2025 - Fall Season,2025-08-09,2025,Team WE,Bilibili Gaming,Team WE,Bilibili Gaming,1-2,1,2,5.6,1.15,0.17037,0.82963
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,08 Aug 2025 - Fall Season,2025-08-08,2025,Anyone's Legend,FunPlus Phoenix,Anyone's Legend,FunPlus Phoenix,2-1,2,1,1.13,6.2,0.845839,0.154161
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,08 Aug 2025 - Fall Season,2025-08-08,2025,Ultra Prime,LNG Esports,Ultra Prime,LNG Esports,2-1,2,1,2.25,1.69,0.428934,0.571066
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,07 Aug 2025 - Fall Season,2025-08-07,2025,LNG Esports,LGD Gaming,LNG Esports,LGD Gaming,2-0,2,0,2.56,1.69,0.397647,0.602353
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,06 Aug 2025 - Fall Season,2025-08-06,2025,Anyone's Legend,Invictus Gaming,Anyone's Legend,Invictus Gaming,0-2,0,2,1.55,2.5,0.617284,0.382716
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,06 Aug 2025 - Fall Season,2025-08-06,2025,JD Gaming,Bilibili Gaming,JD Gaming,Bilibili Gaming,1-2,1,2,4.5,1.22,0.213287,0.786713
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,05 Aug 2025 - Fall Season,2025-08-05,2025,Anyone's Legend,Top Esports,Anyone's Legend,Top Esports,1-2,1,2,1.6,2.62,0.620853,0.379147
