league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,02 Apr 2024 - Spring - Stage 2,2024-04-02,2024,GIANTX,Movistar KOI,GiantX,Movistar KOI,1-2,1,2,3.07,1.4,0.313199,0.686801
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,02 Apr 2024 - Spring - Stage 2,2024-04-02,2024,SK Gaming,Heretics,SK Gaming,Heretics,1-2,1,2,2.27,1.72,0.431078,0.568922
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,01 Apr 2024 - Spring - Stage 2,2024-04-01,2024,Fnatic,G2 Esports,Fnatic,G2 Esports,0-2,0,2,2.82,1.43,0.336471,0.663529
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,31 Mar 2024 - Spring - Stage 2,2024-03-31,2024,G2 Esports,Movistar KOI,G2 Esports,Movistar KOI,2-0,2,0,1.31,4.0,0.753296,0.246704
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,30 Mar 2024 - Spring - Stage 2,2024-03-30,2024,Fnatic,GIANTX,Fnatic,GiantX,2-0,2,0,1.17,6.19,0.841033,0.158967
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,30 Mar 2024 - Spring - Stage 2,2024-03-30,2024,Vitality,SK Gaming,Vitality,SK Gaming,2-1,2,1,1.58,2.45,0.60794,0.39206
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,25 Mar 2024 - Spring - Stage 1,2024-03-25,2024,Karmine Corp,Shifters,Karmine Corp,Shifters,0-1,0,1,2.42,1.57,0.393484,0.606516
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,25 Mar 2024 - Spring - Stage 1,2024-03-25,2024,G2 Esports,Vitality,G2 Esports,Vitality,0-1,0,1,1.24,4.06,0.766038,0.233962
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,25 Mar 2024 - Spring - Stage 1,2024-03-25,2024,Fnatic,Movistar KOI,Fnatic,Movistar KOI,0-1,0,1,1.48,2.68,0.644231,0.355769
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,25 Mar 2024 - Spring - Stage 1,2024-03-25,2024,Rogue,SK Gaming,Rogue,SK Gaming,1-0,1,0,2.53,1.57,0.382927,0.617073
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,25 Mar 2024 - Spring - Stage 1,2024-03-25,2024,Heretics,GIANTX,Heretics,GiantX,0-1,0,1,1.43,2.82,0.663529,0.336471
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,23 Mar 2024 - Spring - Stage 1,2024-03-23,2024,Karmine Corp,Heretics,Karmine Corp,Heretics,0-1,0,1,2.24,1.65,0.424165,0.575835
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,23 Mar 2024 - Spring - Stage 1,2024-03-23,2024,Rogue,G2 Esports,Rogue,G2 Esports,1-0,1,0,4.81,1.18,0.196995,0.803005
