gameid,league,date,time_min,gold_diff,xp_diff,cs_diff,kill_diff,prior_p_blue,blue_wins
LOLTMNT06_164234,LEC,2026-01-17T19:07:52+00:00,10,-353.0,-1322.0,-10.0,0,0.447281888255662,0
LOLTMNT06_164234,LEC,2026-01-17T19:07:52+00:00,15,-944.0,143.0,6.0,0,0.447281888255662,0
LOLTMNT06_164234,LEC,2026-01-17T19:07:52+00:00,20,-682.0,-376.0,-13.0,1,0.447281888255662,0
LOLTMNT06_164234,LEC,2026-01-17T19:07:52+00:00,25,-1091.0,-2055.0,33.0,-1,0.447281888255662,0
LOLTMNT06_163258,LEC,2026-01-17T20:06:09+00:00,10,-179.0,-423.0,-22.0,-1,0.769626639731131,1
LOLTMNT06_163258,LEC,2026-01-17T20:06:09+00:00,15,727.0,506.0,-11.0,0,0.769626639731131,1
LOLTMNT06_163258,LEC,2026-01-17T20:06:09+00:00,20,2033.0,858.0,-25.0,0,0.769626639731131,1
LOLTMNT06_163258,LEC,2026-01-17T20:06:09+00:00,25,4797.0,4144.0,-3.0,2,0.769626639731131,1
LOLTMNT06_163282,LEC,2026-01-17T21:08:03+00:00,10,445.0,-449.0,-26.0,2,0.721020399699269,0
LOLTMNT06_163282,LEC,2026-01-17T21:08:03+00:00,15,-891.0,-535.0,-33.0,2,0.721020399699269,0
LOLTMNT06_163282,LEC,2026-01-17T21:08:03+00:00,20,-4211.0,-3883.0,-62.0,-1,0.721020399699269,0
LOLTMNT06_163282,LEC,2026-01-17T21:08:03+00:00,25,-8387.0,-10358.0,-102.0,-4,0.721020399699269,0
LOLTMNT03_336834,LCK,2026-01-18T08:05:24+00:00,10,1410.0,1872.0,17.0,2,0.864759102945723,0
LOLTMNT03_336834,LCK,2026-01-18T08:05:24+00:00,15,2655.0,2862.0,37.0,4,0.864759102945723,0
LOLTMNT03_336834,LCK,2026-01-18T08:05:24+00:00,20,2378.0,3031.0,43.0,5,0.864759102945723,0
LOLTMNT03_336834,LCK,2026-01-18T08:05:24+00:00,25,1141.0,481.0,29.0,5,0.864759102945723,0
LOLTMNT03_336842,LCK,2026-01-18T08:58:36+00:00,10,-1562.0,-2086.0,-28.0,-3,0.242641404262592,1
LOLTMNT03_336842,LCK,2026-01-18T08:58:36+00:00,15,1067.0,770.0,-14.0,-1,0.242641404262592,1
LOLTMNT03_336842,LCK,2026-01-18T08:58:36+00:00,20,4276.0,3566.0,16.0,3,0.242641404262592,1
LOLTMNT03_336842,LCK,2026-01-18T08:58:36+00:00,25,4686.0,1702.0,25.0,3,0.242641404262592,1
LOLTMNT03_337890,LCK,2026-01-18T10:20:18+00:00,10,770.0,1445.0,30.0,1,0.914159134329617,1
LOLTMNT03_337890,LCK,2026-01-18T10:20:18+00:00,15,4244.0,2706.0,33.0,7,0.914159134329617,1
LOLTMNT03_337890,LCK,2026-01-18T10:20:18+00:00,20,1363.0,-1133.0,34.0,4,0.914159134329617,1
LOLTMNT03_337890,LCK,2026-01-18T10:20:18+00:00,25,550.0,382.0,40.0,3,0.914159134329617,1
LOLTMNT03_337894,LCK,2026-01-18T11:12:18+00:00,10,-1573.0,-1207.0,-11.0,-3,0.915482320656806,0
LOLTMNT03_337894,LCK,2026-01-18T11:12:18+00:00,15,90.0,457.0,-5.0,-2,0.915482320656806,0
LOLTMNT03_337894,LCK,2026-01-18T11:12:18+00:00,20,-657.0,-209.0,-9.0,-1,0.915482320656806,0
LOLTMNT03_337894,LCK,2026-01-18T11:12:18+00:00,25,-1368.0,-127.0,-10.0,-5,0.915482320656806,0
